claim_id,video_id,video_title,claim_text,verityngn_verdict,verityngn_category,prob_true,prob_false,ground_truth,ground_truth_confidence,ground_truth_sources,ground_truth_notes
KqJAzQe7_0g_claim_6,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Dr. Irina Kossovskaia, M.D., Ph.D., N.M.D. (Russia) - Physician, Scientist, Professor, Author & SCENAR expert",LIKELY_FALSE,FALSE,0.0476,0.9048,FALSE,medium,,Auto-labeled: High VerityNgn confidence: 90% FALSE
KqJAzQe7_0g_claim_7,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,Chemotherapy business is also a wonderful example of a multiplicator because the side effects that chemotherapy produces is bone marrow transplants. This is the results of chemotherapy. Bleeding from ,LIKELY_FALSE,FALSE,0.1571,0.6943,,,,
KqJAzQe7_0g_claim_8,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,The side effects that chemotherapy produces is bone marrow transplants. This is the results of chemotherapy. Bleeding from the intestines that requires drugs. Anti-nausea drugs. And many others. Chang,LIKELY_FALSE,FALSE,0.179,0.6743,,,,
KqJAzQe7_0g_claim_9,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"It is calculated that the new generation, the generation of today... from this generation... each second man and each third woman will have this illness... cancer.",LIKELY_FALSE,FALSE,0.1571,0.6943,,,,
KqJAzQe7_0g_claim_10,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,Medical schools gave us a whole hour on nutrition in four years of medical school.,LIKELY_FALSE,FALSE,0.1571,0.6943,,,,
KqJAzQe7_0g_claim_11,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,Ignaz Semmelweis was called a quack because he suggested that doctors actually wash their hands before surgery.,HIGHLY_LIKELY_TRUE,TRUE,0.9048,0.0476,TRUE,high,,Auto-labeled: Matches known true fact pattern
KqJAzQe7_0g_claim_12,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Dr. Manuela Malaguti-Boyle, Ph.D., N.D. (Australia) - Integrative Medical Practitioner, Author & International Lecturer",LIKELY_TRUE,TRUE,0.6137,0.3373,,,,
KqJAzQe7_0g_claim_13,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,claim_text There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true. ~ Soren Kierkegaard,LIKELY_FALSE,FALSE,0.0476,0.9048,FALSE,medium,,Auto-labeled: High VerityNgn confidence: 90% FALSE
KqJAzQe7_0g_claim_14,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Dr. Stanislaw Burzynski, M.D., Ph.D. (Poland/USA) - Scientist and Biochemist, Founder - Burzynski Clinic (Texas, USA)",LIKELY_TRUE,TRUE,0.7086,0.2181,TRUE,low,,Auto-labeled: Moderate VerityNgn confidence: 71% TRUE
KqJAzQe7_0g_claim_15,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Dr. Joseph Mercola, D.O. (USA) - Founder of Mercola.com, New York Times Best-selling Author",UNCERTAIN,UNCERTAIN,0.4705,0.3981,,,,
KqJAzQe7_0g_claim_16,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Dr. Gaston Cornu-Labat, M.D. (Argentina) - Author, Holistic Physician & Surgeon",LIKELY_FALSE,FALSE,0.265,0.6631,,,,
KqJAzQe7_0g_claim_17,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,initial_assessment A philosophical quote not a factual claim about cancer or medicine but sets a thematic tone for the video's purpose.,LIKELY_TRUE,TRUE,0.4013,0.0463,,,,
KqJAzQe7_0g_claim_18,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,"Chemotherapy is incredibly ineffective, and it's also hazardous material.",LIKELY_FALSE,FALSE,0.1505,0.7695,FALSE,high,,Auto-labeled: Matches known false claim pattern
KqJAzQe7_0g_claim_19,KqJAzQe7_0g,The Truth About Cancer: A Global Quest - Episode 1,One in two men and one in three women that are alive today are going to face cancer.,LIKELY_TRUE,TRUE,0.7544,0.1078,TRUE,medium,,Auto-labeled: Matches known factual pattern
VNqNnUJVcVs_claim_0,VNqNnUJVcVs,Is Earth Actually Flat?,A research paper titled 'Is Kansas as Flat as a Pancake?' supports the claim about Kansas's flatness.,HIGHLY_LIKELY_TRUE,TRUE,0.9048,0.0476,TRUE,medium,,Auto-labeled: High VerityNgn confidence: 90% TRUE
VNqNnUJVcVs_claim_1,VNqNnUJVcVs,Is Earth Actually Flat?,Building foundations on a flat Earth would need to be built at an increasing diagonal angle towards the edge for inhabitants to feel 'down' as perpendicular to the floor.,LEANING_TRUE,TRUE,0.49,0.3556,,,,
dQw4w9WgXcQ_claim_0,dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Vi,"Rick Astley is dancing in an outdoor setting with brick archways, wearing a white trench coat and black turtleneck.",LIKELY_FALSE,FALSE,0.3471,0.6048,,,,
dQw4w9WgXcQ_claim_1,dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Vi,"Rick Astley is shown in a close-up, singing with his eyes closed, expressing emotion.",LIKELY_TRUE,TRUE,0.2709,0.0981,,,,
ffjIyms1BX4_claim_0,ffjIyms1BX4,Climate Science: What You Need To Know,The magazine cover reads 'Science: Air is Real shocking new study!'.,LIKELY_FALSE,FALSE,0.2787,0.6742,,,,
ffjIyms1BX4_claim_1,ffjIyms1BX4,Climate Science: What You Need To Know,The best evidence for human-caused CO2 increase comes from analyzing carbon isotopes in the atmosphere.,LEANING_TRUE,TRUE,0.5048,0.3619,TRUE,high,,Auto-labeled: Matches known true fact pattern
iSpglxHTJVM_claim_0,iSpglxHTJVM,The Game Changers | Official Trailer,The speaker spent more than a thousand hours studying science on recovery and nutrition.,LIKELY_FALSE,FALSE,0.1996,0.7519,FALSE,low,,Auto-labeled: Moderate VerityNgn confidence: 75% FALSE
iSpglxHTJVM_claim_1,iSpglxHTJVM,The Game Changers | Official Trailer,The weightlifter lifted 209 kg (461 lbs) at the Men's Olympic Trials.,HIGHLY_LIKELY_TRUE,TRUE,0.8919,0.0598,TRUE,medium,,Auto-labeled: High VerityNgn confidence: 89% TRUE
iSpglxHTJVM_claim_2,iSpglxHTJVM,The Game Changers | Official Trailer,The film was an official selection at Sundance Film Festival 2018.,LIKELY_FALSE,FALSE,0.1219,0.36,,,,
iX8GxLP1FHo_claim_0,iX8GxLP1FHo,The Great Hack | Official Trailer | Netflix,"Google, Facebook, and other powerful companies are powerful because data surpassed oil in value last year.",HIGHLY_LIKELY_TRUE,TRUE,0.9048,0.0476,TRUE,medium,,Auto-labeled: High VerityNgn confidence: 90% TRUE
ju8kxSldM64_claim_0,ju8kxSldM64,QACheck Demo,"The evidence for the first question states: 'The Nobel Prize in Chemistry 1968 was awarded to Lars Onsager for the discovery of the reciprocal relations bearing his name, which are fundamental for the",HIGHLY_LIKELY_TRUE,TRUE,0.9048,0.0476,TRUE,medium,,Auto-labeled: High VerityNgn confidence: 90% TRUE
tLJC8hkK-ao_claim_0,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,Thousands have experienced dissolving over 15 pounds of stubborn fat in as little as 4 weeks in recent months.,LIKELY_FALSE,FALSE,0.2618,0.692,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_1,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"The best part is seeing results in the mirror without having to eat those tasteless, impossible-to-swallow foods.",LIKELY_FALSE,FALSE,0.177,0.7215,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_2,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,The 'Turmeric Hack' could dissolve over 15 pounds of stubborn fat in as little as 4 weeks.,LIKELY_FALSE,FALSE,0.1101,0.8216,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_3,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Sarah Johnson, 52, California, lost 39 pounds and it was super easy.",LIKELY_FALSE,FALSE,0.1944,0.7544,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_4,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"The 'Turmeric Hack' worked for Sarah Johnson, a mom of 2 kids.",LIKELY_FALSE,FALSE,0.2743,0.6786,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_5,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,claim_text I've been on Lipozem for 2 weeks and this morning I weighed myself and saw I've already dropped 13 pounds.,LIKELY_FALSE,FALSE,0.1691,0.7844,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_6,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Emily Turner, 66, New York, lost 51 pounds.",LIKELY_FALSE,FALSE,0.1789,0.7735,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_7,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,You're going to learn everything about the 'Turmeric Hack' you can whip up at home.,LIKELY_FALSE,FALSE,0.2743,0.6786,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_8,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Any woman can do it, even if she doesn't have a lot of free time.",LIKELY_FALSE,FALSE,0.1014,0.4019,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_0,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Take this study by the World Obesity Atlas from a couple years back, pointing out that over 1 billion people will be grappling with overweight and obesity issues by 2030.",LEANING_TRUE,TRUE,0.5048,0.3619,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_1,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"I started staying up late, studying and searching for a solution. I read every book in scientific article, and I spent days in my lab looking for something that could help with this.",LIKELY_FALSE,FALSE,0.2949,0.6571,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_2,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,A study by the World Obesity Atlas from a couple of years back predicted that over 1 billion people will be grappling with overweight and obesity issues by 2030.,LIKELY_TRUE,TRUE,0.5853,0.327,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_3,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Fascinating, doctor. What did your research uncover?",LIKELY_TRUE,TRUE,0.2709,0.0981,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_4,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Over 2,800 clinical studies show berberine's incredible ability to reduce blood sugar, enhance weight loss, lower cholesterol, and even treat insomnia.",LIKELY_FALSE,FALSE,0.3233,0.6136,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_5,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"So don't be shocked when I drop some truths no doctor has told you before, like the real cause of that hated fat gain in your chin, belly, thighs, and arms.",LIKELY_FALSE,FALSE,0.1996,0.7519,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_6,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"So stay tuned, grab a pen and paper because expert Julian, one of America's top endocrinologists, will reveal all you need to know to pull off this 'Turmeric Hack' to counteract inflammation and force",LIKELY_FALSE,FALSE,0.2787,0.6742,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_7,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"According to experts, it's all about cell inflammation, silently puffing up your body's fat molecules causing bloating, lethargy, rampant fat gain, and a drop in libido.",LIKELY_FALSE,FALSE,0.1996,0.7519,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_8,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Today, I'm here to show everyone tuning in that shedding pounds quickly is totally doable. No diets or endless gym hours required!",LIKELY_FALSE,FALSE,0.2939,0.658,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_9,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Now, watch. In this case, since the fat is in its correct size, whenever the metabolism becomes fast, fat leaves the body, as you can see!",LIKELY_FALSE,FALSE,0.1907,0.7619,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_10,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,Even though these solutions get the metabolism working. They don't reduce the size of your fat cells and often the opposite effect happens.,LIKELY_FALSE,FALSE,0.1286,0.7895,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_11,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Today on Better Health, you're going to learn everything about the 'Turmeric Hack' you can whip up at home, which could dissolve over 15 pounds of stubborn fat in as little as 4 weeks.",LIKELY_FALSE,FALSE,0.2557,0.6972,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_12,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"This is due to a variety of reasons, but primarily, it's what we refer to as 'cellular inflammation'.",LIKELY_FALSE,FALSE,0.2311,0.6252,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_13,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"I'll be sharing some incredible transformations of patients who've dropped up to 46 pounds in just 5 weeks, following the exact steps I'll lay out.",LIKELY_FALSE,FALSE,0.1996,0.7519,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_14,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Dr. Oz was just on our show, talking about the threats he faces yearly for exposing this kind of dirt.",LIKELY_FALSE,FALSE,0.1286,0.7895,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_15,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"So, it's with great pleasure that we welcome Dr. Julian Ross today.",LIKELY_FALSE,FALSE,0.1486,0.6781,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_16,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"I lost 39 pounds and it was super easy and any woman can do it, even if she doesn't have a lot of free time.",LIKELY_FALSE,FALSE,0.1286,0.7895,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_17,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"I lost 51 pounds and the best part is seeing results in the mirror without having to eat those tasteless, impossible-to-swallow foods.",UNCERTAIN,UNCERTAIN,0.2,0.3,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_18,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,"Contrary to popular belief, it's not much about genetics, age, or a slow metabolism.",LIKELY_FALSE,FALSE,0.1419,0.7543,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
tLJC8hkK-ao_claim_19,tLJC8hkK-ao,[LIPOZEM] Exclusive Interview with Dr. Julian Ross,At least that's the case for thousands in recent months...,LEANING_TRUE,TRUE,0.49,0.3556,FALSE,high,,Auto-labeled: Known weight loss scam video - all health claims are false
vgqG3ITMv1Q_claim_0,vgqG3ITMv1Q,The Big Short Trailer (2015) ‐ Paramount Pictures,claim_text The following preview has been approved for APPROPRIATE AUDIENCES by the Motion Picture Association of America Inc.,LIKELY_TRUE,TRUE,0.3562,0.1857,,,,
